user_id,session_time,rage_clicks,doomscroll_length,ad_click_emotion,feed_bias_score,notification_time,notif_response_time,keyword_sentiment_score,ad_category_clicked,predicted_trait_label,total_negative_engagement_score,active_notif_responder,feed_bias_category
user_00000,101,0,0.0,neutral,0.1904825941659427,13:35:00,,0.09703580691996216,finance,skeptical,0.0,0,left_leaning
user_00001,69,4,0.0,curiosity,0.4660935565609674,22:11:00,,0.26806696706815547,travel,curious,2.0,0,neutral
user_00002,76,0,45.035338477904034,neutral,0.9916602329173452,13:20:00,,0.2991420868728649,news,anxious,31.52473693453282,0,right_leaning
user_00003,44,0,0.15704301541661136,surprise,0.6989875835391922,09:46:00,,-0.6793511796522105,travel,skeptical,0.10993011079162794,0,neutral
user_00004,37,1,58.928002272340734,curiosity,0.4709775746627869,15:23:00,1.50421377954632,-0.49486960277609326,food,anxious,41.74960159063851,1,neutral
user_00005,60,0,0.0,curiosity,0.9149720502100243,22:20:00,27.322884609769172,-0.7709220929788738,fashion,skeptical,0.0,1,right_leaning
user_00006,11,0,0.0,anger,0.46945492231956654,18:42:00,,0.5614836380897488,travel,impulsive,0.0,0,neutral
user_00007,60,1,0.0,anger,0.31477664830560836,10:24:00,,-0.8416933014771284,fashion,skeptical,0.5,0,neutral
user_00008,24,0,23.698672122505027,sadness,0.5584464071239941,11:21:00,,0.422637888853288,news,impulsive,16.589070485753517,0,neutral
user_00009,59,0,56.752986734327315,curiosity,0.4223419440878583,16:06:00,,-0.5677811032473736,finance,impulsive,39.72709071402912,0,neutral
user_00010,97,0,6.067305328429031,sadness,0.24984802914764748,16:21:00,41.95529598838648,0.6536212285603766,fashion,compliant,4.247113729900321,1,left_leaning
user_00011,79,11,0.0,curiosity,0.9462081893843144,13:17:00,,-0.3764246697123066,news,anxious,5.5,0,right_leaning
user_00012,84,0,24.18043296654739,joy,0.2630814739992293,11:47:00,31.591102554598674,0.31321025749858866,news,skeptical,16.92630307658317,1,left_leaning
user_00013,107,3,5.72676624592366,anger,0.0036342835578351274,20:45:00,33.67555186947933,0.6554585324471425,fashion,anxious,5.508736372146561,1,left_leaning
user_00014,46,12,57.32348726910908,neutral,0.24152486158001307,22:06:00,56.38083419243216,-0.46663165450765853,finance,anxious,46.12644108837635,1,left_leaning
user_00015,72,4,32.54138399883737,sadness,0.45731833133031674,15:23:00,,0.280301878783511,gaming,impulsive,24.778968799186156,0,neutral
user_00016,5,0,0.0,anger,0.6573961484932735,17:34:00,,0.5255014499611901,food,impulsive,0.0,0,neutral
user_00017,83,0,24.259460676722874,curiosity,0.6005606317653049,12:53:00,,-0.669214360838184,news,skeptical,16.98162247370601,0,neutral
user_00018,43,0,0.0,curiosity,0.19371819452907602,11:58:00,14.578447060276762,-0.6969150473187113,travel,skeptical,0.0,1,left_leaning
user_00019,67,8,0.0,neutral,0.11068276437212743,16:45:00,31.752566646885732,-0.8481560050977701,food,anxious,4.0,1,left_leaning
user_00020,17,0,54.88669473586967,sadness,0.7647654268788747,15:10:00,1.1579665665598546,0.4914928496899176,food,anxious,38.42068631510877,1,right_leaning
user_00021,114,3,0.0,joy,0.06103183014715863,18:18:00,57.647532698725136,0.6931391862799317,fashion,compliant,1.5,1,left_leaning
user_00022,66,0,23.051432062349523,anger,0.703176916920601,08:45:00,33.960643289969696,-0.300915375960763,gaming,distracted,16.136002443644664,1,right_leaning
user_00023,34,0,45.696122353788276,joy,0.32924655968277117,12:09:00,,0.0561432896755627,travel,anxious,31.98728564765179,0,neutral
user_00024,119,12,0.0,anger,0.5668880097305051,17:34:00,8.65130124025282,0.13842654729359638,food,anxious,6.0,1,neutral
user_00025,30,0,0.0,curiosity,0.16643792893563458,19:06:00,4.716301235953192,-0.9219235888888098,gaming,skeptical,0.0,1,left_leaning
user_00026,31,0,54.457918763555206,surprise,0.23263102027887128,15:50:00,2.7597728373218935,0.34562402226610445,food,anxious,38.12054313448864,1,left_leaning
user_00027,40,0,0.0,curiosity,0.6211771862995255,13:07:00,35.738753615031904,0.7926531288903824,fashion,curious,0.0,1,neutral
user_00028,16,0,24.147477787940325,curiosity,0.9388589024595231,15:00:00,16.28235027173883,-0.9100819004058123,fashion,skeptical,16.903234451558227,1,right_leaning
user_00029,115,0,0.0,curiosity,0.1363671779006449,17:55:00,,-0.7825538938910626,food,skeptical,0.0,0,left_leaning
user_00030,25,0,52.75615601340616,curiosity,0.07410447849783408,13:32:00,,0.30811058779375977,food,anxious,36.929309209384314,0,left_leaning
user_00031,53,0,0.0,sadness,0.4494252633553645,11:35:00,33.651962880243275,-0.9481607597691526,news,skeptical,0.0,1,neutral
user_00032,30,0,37.17900285772883,surprise,0.48888213604757347,14:45:00,34.15805302488917,-0.5446560236776175,tech,anxious,26.025302000410182,1,neutral
user_00033,65,2,0.0,sadness,0.9966918453112044,17:35:00,30.65561848700238,0.5078176560415901,tech,skeptical,1.0,1,right_leaning
user_00034,5,9,50.425297878464015,joy,0.26736929062197456,21:09:00,48.597387316087634,0.9499572002280552,food,impulsive,39.79770851492481,1,left_leaning
user_00035,33,0,0.0,anger,0.8375417287970897,15:48:00,54.48157355958407,0.10634669830463728,travel,compliant,0.0,1,right_leaning
user_00036,96,0,12.320168271142503,joy,0.7878453574189189,09:00:00,53.98849970243916,-0.5110760406110406,finance,skeptical,8.624117789799751,1,right_leaning
user_00037,6,0,0.0,joy,0.45729719768758326,08:24:00,,0.41207129149795607,food,curious,0.0,0,neutral
user_00038,103,0,0.0,curiosity,0.32043498763847866,09:57:00,49.09569828715305,0.6433998222218364,finance,curious,0.0,1,neutral
user_00039,16,0,20.956705385055535,surprise,0.06407816709869829,13:11:00,,0.9388930227110244,finance,curious,14.669693769538874,0,left_leaning
user_00040,35,0,36.85329061751617,sadness,0.036451298378233354,15:06:00,,0.8364540336406441,tech,anxious,25.79730343226132,0,left_leaning
user_00041,104,0,32.700348975001695,surprise,0.0680168801330262,19:33:00,34.9512074593875,-0.9858618526754404,gaming,impulsive,22.890244282501186,1,left_leaning
user_00042,74,0,0.0,surprise,0.048110958554004046,09:33:00,5.7137062193234005,0.18669240727664915,finance,distracted,0.0,1,left_leaning
user_00043,106,9,0.0,neutral,0.09328072034401269,12:10:00,35.63380196443318,-0.44398398447651766,tech,anxious,4.5,1,left_leaning
user_00044,32,0,37.559943596138076,curiosity,0.9668813475413619,17:43:00,52.25531251536471,0.7300092245195906,tech,anxious,26.29196051729665,1,right_leaning
user_00045,92,0,0.0,curiosity,0.7108251480804074,22:16:00,15.863791771733286,0.36362172761099765,food,curious,0.0,1,right_leaning
user_00046,36,0,0.0,anger,0.7015609925848789,20:18:00,54.506251423595,-0.27364927240306525,gaming,curious,0.0,1,right_leaning
user_00047,83,0,0.0,curiosity,0.26399980487617447,08:47:00,57.391814134796306,0.3261982044270677,gaming,curious,0.0,1,left_leaning
user_00048,113,0,0.0,anger,0.33834993577924555,08:28:00,,-0.1313265532735466,news,skeptical,0.0,0,neutral
user_00049,35,0,0.0,joy,0.6927413906285661,15:05:00,,-0.3952469021628997,travel,compliant,0.0,0,neutral
user_00050,103,0,0.0,curiosity,0.2992973207680931,08:40:00,,-0.15353978383178446,finance,curious,0.0,0,left_leaning
user_00051,53,0,6.4983900624423825,neutral,0.406326290031106,21:30:00,,-0.8691225697500997,tech,skeptical,4.548873043709667,0,neutral
